"fnu","area","region","comuna","sex","age","ses","phone","edu","pond","agecat","approval"
1640,1,13,13127,2,64,3,1,2,1.137,5,2
1540,1,13,13121,2,61,3,9,2,1.103,5,1
1030,1,10,10202,1,38,3,1,3,0.705,3,1
554,1,7,7301,2,38,4,2,3,0.908,3,2
1764,1,13,13201,2,45,3,1,1,0.217,4,2
1799,1,13,13401,2,83,2,9,3,0.445,5,2
215,1,5,5101,1,68,4,2,3,0.386,5,1
971,1,14,14107,2,55,4,2,1,1.043,5,1
1652,1,13,13127,2,27,4,1,3,1.195,2,2
806,2,8,8401,2,50,4,2,3,0.325,4,1
544,1,7,7201,2,40,4,2,2,0.904,3,2
1188,1,13,13105,1,60,3,1,2,1.233,5,3
1158,1,13,13103,1,82,4,2,2,0.908,5,2
1115,1,13,13101,2,49,2,9,4,0.628,4,1
258,1,5,5106,2,53,4,2,2,0.95,4,1
1328,1,13,13113,2,37,1,1,4,0.771,3,2
366,1,5,5504,2,56,3,1,3,2.12,5,2
307,1,5,5109,1,58,3,2,4,0.439,5,3
1588,1,13,13123,1,26,1,9,4,2.196,2,1
1351,1,13,13114,1,62,1,1,4,0.757,5,1
269,1,5,5107,1,55,3,2,3,0.398,5,2
789,1,8,8401,2,41,3,2,3,1.019,3,2
1651,1,13,13127,2,73,4,1,2,0.81,5,2
1749,1,13,13201,1,53,3,1,3,2.888,4,1
625,1,8,8101,2,79,2,1,4,0.997,5,1
1090,1,12,12401,2,56,2,2,4,1.214,5,2
35,1,1,1101,2,71,3,1,2,0.864,5,1
595,2,7,7404,2,53,4,1,2,0.445,4,2
1064,2,10,10306,1,50,3,2,3,1.502,4,1
1523,1,13,13120,1,43,1,1,4,0.903,3,2
1472,1,13,13119,2,42,3,1,4,1.658,3,3
1058,2,10,10302,2,63,5,2,3,0.187,5,1
94,1,2,2102,1,68,3,1,3,0.228,5,2
207,2,4,4304,1,64,4,2,2,4.815,5,3
1814,1,13,13401,2,66,3,9,1,0.262,5,1
